,Simulation,NSubs,index,pvalue_cdiscr,pvalue_manova,pvalue_dcorr
0,No Effect,16,0,0.5344655344655345,0.7492791908451879,0.5988645387681842
1,No Effect,16,1,0.12487512487512488,0.876117254335741,0.03805579180088567
2,No Effect,16,2,0.1068931068931069,0.02413736706280435,0.01876142816162408
3,No Effect,16,3,0.7052947052947053,0.8519236291346957,0.7621241069642102
4,No Effect,16,4,0.21478521478521478,0.4392202115036977,0.302738526059561
5,No Effect,16,5,0.46653346653346656,0.11271493350694936,0.10930000418387457
6,No Effect,16,6,0.12987012987012986,0.3977576004443625,0.12789141855669928
7,No Effect,16,7,0.5694305694305695,0.8615104833796183,0.37452870243888614
8,No Effect,16,8,0.5504495504495505,0.5974111128620899,0.24963538335228108
9,No Effect,16,9,0.5094905094905094,0.11024394402276881,0.8244453535727718
10,No Effect,16,10,0.6443556443556444,0.49441937272793146,0.013461419703318527
11,No Effect,16,11,0.5674325674325674,0.592814260796178,0.7089466797306796
12,No Effect,16,12,0.4205794205794206,0.012004886161174507,0.03723187940634628
13,No Effect,16,13,0.6663336663336663,0.04283067911051642,0.14269979514536932
14,No Effect,16,14,0.14085914085914086,0.6632207146702267,0.07948848051024998
15,No Effect,16,15,0.2077922077922078,0.15734803226029698,0.055778292336350684
16,No Effect,16,16,0.09290709290709291,0.9271670708734883,0.10115733232130528
17,No Effect,16,17,0.16383616383616384,0.1168465916710921,0.05456877507826601
18,No Effect,16,18,0.6323676323676324,0.48230491242250373,1.0
19,No Effect,16,19,0.2937062937062937,0.28926384551932904,0.04931489693970217
20,No Effect,16,20,0.15284715284715283,0.4494283864515113,0.003881985603024792
21,No Effect,16,21,0.016983016983016984,0.00037213541068941965,8.943485049892717e-05
22,No Effect,16,22,0.5934065934065934,0.006516315770391362,0.04993062203631561
23,No Effect,16,23,0.6633366633366633,0.07092828661318971,0.1065032513801039
24,No Effect,16,24,0.2547452547452547,0.16749455258864338,0.2962043188588091
25,No Effect,16,25,0.06693306693306693,0.3055039930985386,0.0648332604093264
26,No Effect,16,26,0.08391608391608392,0.06206170444320776,0.01466531966503703
27,No Effect,16,27,0.6063936063936064,0.9847560915714907,0.2061057468489896
28,No Effect,16,28,0.7112887112887113,0.059401295976714855,0.32166855884712164
29,No Effect,16,29,0.5094905094905094,0.1492894445086825,0.9573096793811728
30,No Effect,16,30,0.15984015984015984,0.00656488084811204,0.010939247796034383
31,No Effect,16,31,0.04195804195804196,0.008773391597024512,0.005448401969219232
32,No Effect,16,32,0.8991008991008991,0.009700792495805636,0.31069028102333585
33,No Effect,16,33,0.3906093906093906,0.24307894895360038,0.02031262307272611
34,No Effect,16,34,0.4785214785214785,0.07830981990784618,0.020217071365647758
35,No Effect,16,35,0.5864135864135864,0.08629281630594787,0.22927358506881584
36,No Effect,16,36,0.2817182817182817,0.25349498923585567,0.0552687184553584
37,No Effect,16,37,0.03696303696303696,0.010325231019868994,0.003416098613688052
38,No Effect,16,38,0.2097902097902098,0.1546050785738216,0.050612210648901694
39,No Effect,16,39,0.025974025974025976,0.007190955392288495,0.0012328616079596384
40,No Effect,16,40,0.5024975024975025,0.963976859701191,0.23912630089860282
41,No Effect,16,41,0.7572427572427572,0.13194580403996117,0.14578869666088615
42,No Effect,16,42,0.0899100899100899,0.0004364605335373038,0.058971745886033745
43,No Effect,16,43,0.4025974025974026,0.17974190329520554,0.030430666792069655
44,No Effect,16,44,0.04995004995004995,0.008303270283218957,0.07730045388433342
45,No Effect,16,45,0.7942057942057942,0.59417513924424,0.3092377106038079
46,No Effect,16,46,0.8681318681318682,0.47320726070478436,0.1542615665438185
47,No Effect,16,47,0.7332667332667333,0.32594701508647594,0.3489597480528772
48,No Effect,16,48,0.46053946053946054,0.43182750267540704,0.3955016595118628
49,No Effect,16,49,0.5734265734265734,0.019007781091791364,0.175270619137044
50,No Effect,16,50,0.4305694305694306,0.460889348324654,0.25972729282739776
51,No Effect,16,51,0.939060939060939,0.7876299981780883,0.48287199268585634
52,No Effect,16,52,0.7882117882117882,0.9533824820027723,0.18970200638948997
53,No Effect,16,53,0.3356643356643357,0.4604780110357861,0.14149016705909218
54,No Effect,16,54,0.13886113886113885,0.46381048887088694,0.05511711201081137
55,No Effect,16,55,0.0919080919080919,0.31350411116428256,0.16670604839256092
56,No Effect,16,56,0.6923076923076923,0.11108569292856132,0.13898580611442446
57,No Effect,16,57,0.5914085914085914,0.7525089217449339,0.30640554075702686
58,No Effect,16,58,0.8971028971028971,0.9775216492414889,0.6436908286059992
59,No Effect,16,59,0.7372627372627373,0.2235570502912426,0.41761202793982544
60,No Effect,16,60,0.7282717282717283,0.044021046679900054,0.09467344184552512
61,No Effect,16,61,0.9530469530469531,0.06558299753305835,0.8530366823238336
62,No Effect,16,62,0.6923076923076923,0.24953652817219443,0.15984684100934227
63,No Effect,16,63,0.07692307692307693,0.36153161228552244,0.03426645503956452
64,No Effect,16,64,0.22977022977022976,0.08102269402099906,0.07562743982717345
65,No Effect,16,65,0.6143856143856143,0.0032455539237077184,0.051151493798374095
66,No Effect,16,66,0.029970029970029972,0.1524750052116291,0.002359101690312861
67,No Effect,16,67,0.1838161838161838,0.6534741260279006,0.0916617562462929
68,No Effect,16,68,0.13986013986013987,0.0019201960165918632,0.05446949380363232
69,No Effect,16,69,0.32167832167832167,0.7242114420063699,0.09216085026806208
70,No Effect,16,70,0.9140859140859141,0.8515938824734106,0.49955810553295443
71,No Effect,16,71,0.5084915084915085,0.004745514371963054,0.0679935528218571
72,No Effect,16,72,0.1008991008991009,0.17140576845916183,0.07156891024218287
73,No Effect,16,73,0.8461538461538461,0.27867619570567,0.20793190883691906
74,No Effect,16,74,0.8911088911088911,0.20353026998625473,0.19869863085047396
75,No Effect,16,75,0.5694305694305695,0.49720559610052395,0.6433466174016889
76,No Effect,16,76,0.942057942057942,0.045022132823213074,0.13409530461973274
77,No Effect,16,77,0.3756243756243756,0.4277073136776479,0.43131309305992915
78,No Effect,16,78,0.98001998001998,0.7392026751667498,0.36809208768791113
79,No Effect,16,79,0.17482517482517482,0.8128305329484874,0.3219628070009023
80,No Effect,16,80,0.7112887112887113,0.6351238469997338,0.3649811593300938
81,No Effect,16,81,0.984015984015984,0.4822126457839594,1.0
82,No Effect,16,82,0.38461538461538464,0.4745263219472894,0.3212772990389661
83,No Effect,16,83,0.998001998001998,0.008428279576831246,0.285225232143148
84,No Effect,16,84,0.013986013986013986,0.029489185032990427,0.0017126807232880925
85,No Effect,16,85,0.8131868131868132,0.36323738180207155,0.7778721801149988
86,No Effect,16,86,0.34865134865134867,0.03294835440750925,0.01582432746109222
87,No Effect,16,87,0.44255744255744256,0.0665251015347594,0.06931019469498018
88,No Effect,16,88,0.053946053946053944,0.30540088741523597,0.0060496640358141535
89,No Effect,16,89,0.16083916083916083,0.16161027614087337,0.11010594453757387
90,No Effect,16,90,0.6853146853146853,0.11549823462553771,0.1466028169669015
91,No Effect,16,91,0.8421578421578422,0.5060798210441548,0.49024578057242374
92,No Effect,16,92,0.13586413586413587,0.6689752818362393,0.06430659494485448
93,No Effect,16,93,0.3126873126873127,0.755444649436674,0.7821571660265533
94,No Effect,16,94,0.6333666333666333,0.07074033446568004,0.08611668347823642
95,No Effect,16,95,0.07692307692307693,0.02137326559997563,0.0434206751890563
96,No Effect,16,96,0.6353646353646354,0.7011173177608536,1.0
97,No Effect,16,97,0.024975024975024976,0.0982157809208421,0.003887187348524736
98,No Effect,16,98,0.9280719280719281,0.48655923873594253,0.4267445212742823
99,No Effect,16,99,0.5784215784215784,0.7694620412317532,0.11723585491758096
100,No Effect,24,0,0.18081918081918083,0.0033888091429398913,0.08066657471433666
101,No Effect,24,1,0.1798201798201798,0.027219209421957786,0.05287854048479787
102,No Effect,24,2,0.9180819180819181,0.2938195528683727,0.6257181675423649
103,No Effect,24,3,0.5784215784215784,0.18457220577633984,0.17876290861508023
104,No Effect,24,4,0.8881118881118881,0.9417558129193231,0.1780225858985624
105,No Effect,24,5,0.8641358641358642,0.9570892025792954,0.31265300599251517
106,No Effect,24,6,0.6213786213786214,0.6643227577788613,0.3949094246006757
107,No Effect,24,7,0.1008991008991009,0.1320572030935475,0.05755799084947297
108,No Effect,24,8,0.6403596403596403,0.036491377004538694,0.1438138427093619
109,No Effect,24,9,0.6543456543456544,0.5317552568446009,0.40061821416268684
110,No Effect,24,10,0.027972027972027972,0.005899224898107846,0.008721662492816818
111,No Effect,24,11,0.8871128871128872,0.3011479251517093,0.6507288661557953
112,No Effect,24,12,0.8481518481518482,0.2528535950138473,1.0
113,No Effect,24,13,0.2727272727272727,0.6568556333895669,0.5487318210267783
114,No Effect,24,14,0.17782217782217782,0.05282584165389419,0.3593762861871008
115,No Effect,24,15,0.8781218781218781,0.5508832950128975,0.2992830854196512
116,No Effect,24,16,0.9340659340659341,0.05692203088854957,0.27775685820970125
117,No Effect,24,17,0.7332667332667333,0.4589888422342372,0.12452133908575816
118,No Effect,24,18,0.7942057942057942,0.9248361017636505,1.0
119,No Effect,24,19,0.945054945054945,0.2203724997907676,1.0
120,No Effect,24,20,0.4695304695304695,0.6952971162261063,0.3964965673568128
121,No Effect,24,21,0.22977022977022976,0.3969980289842885,0.05992976114537759
